url_path,views_total,views_unique
/yext/pages-starter-react-locations,66,28
/yext/pages-starter-react-locations/tree/main/src,26,9
/yext/pages-starter-react-locations/tree/main/src/templates,21,6
/yext/pages-starter-react-locations/pull/63,21,3
/yext/pages-starter-react-locations/blob/main/package.json,12,5
/yext/pages-starter-react-locations/pull/63/files,9,3
/yext/pages-starter-react-locations/tree/main/src/components,8,4
/yext/pages-starter-react-locations/tree/main/sites-config,8,2
/yext/pages-starter-react-locations/tree/main/src/types,8,2
/yext/pages-starter-react-locations/pulls,7,3
