url_path,views_total,views_unique
/yext/pages-starter-react-locations/tree/main/src,50,9
/yext/pages-starter-react-locations,47,21
/yext/pages-starter-react-locations/tree/main/src/templates,24,5
/yext/pages-starter-react-locations/tree/main/src/components,11,3
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,10,3
/yext/pages-starter-react-locations/tree/main/sites-config,10,3
/yext/pages-starter-react-locations/blob/main/package.json,10,2
/yext/pages-starter-react-locations/blob/main/src/templates/static.tsx,10,2
/yext/pages-starter-react-locations/tree/main/src/assets,9,2
/yext/pages-starter-react-locations/blob/main/src/components/PageLayout.tsx,8,3
