url_path,views_total,views_unique
/yext/pages-starter-react-locations,134,43
/yext/pages-starter-react-locations/tree/main/src,45,19
/yext/pages-starter-react-locations/tree/main/src/templates,25,12
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,25,9
/yext/pages-starter-react-locations/tree/main/src/components,20,11
/yext/pages-starter-react-locations/blob/main/package.json,16,6
/yext/pages-starter-react-locations/tree/main/platform-config,12,4
/yext/pages-starter-react-locations/tree/main,11,3
/yext/pages-starter-react-locations/blob/main/src/templates/404.tsx,10,2
/yext/pages-starter-react-locations/tree/dev/beta.15,7,3
