url_path,views_total,views_unique
/yext/pages-starter-react-locations,35,19
/yext/pages-starter-react-locations/tree/main/src,32,7
/yext/pages-starter-react-locations/tree/main/src/components,21,5
/yext/pages-starter-react-locations/tree/main/src/templates,21,4
/yext/pages-starter-react-locations/tree/main/sites-config,18,5
/yext/pages-starter-react-locations/tree/main/platform-config,17,4
/yext/pages-starter-react-locations/blob/main/package.json,16,5
/yext/pages-starter-react-locations/blob/main/vite.config.js,13,2
/yext/pages-starter-react-locations/blob/main/sites-config/ci.json,8,3
/yext/pages-starter-react-locations/tree/main,7,4
