time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-10 00:00:00+00:00,13,7,29.0,9.0
2023-07-11 00:00:00+00:00,3,2,25.0,3.0
2023-07-12 00:00:00+00:00,13,6,90.0,7.0
2023-07-13 00:00:00+00:00,10,7,71.0,5.0
2023-07-14 00:00:00+00:00,15,7,132.0,4.0
2023-07-15 00:00:00+00:00,4,3,47.0,1.0
2023-07-16 00:00:00+00:00,4,3,,
2023-07-17 00:00:00+00:00,12,8,42.0,8.0
2023-07-18 00:00:00+00:00,7,5,23.0,5.0
2023-07-19 00:00:00+00:00,5,4,44.0,4.0
2023-07-20 00:00:00+00:00,12,8,11.0,3.0
2023-07-21 00:00:00+00:00,10,7,,
2023-07-22 00:00:00+00:00,4,3,7.0,3.0
2023-07-23 00:00:00+00:00,2,2,,
