url_path,views_total,views_unique
/yext/pages-starter-react-locations/tree/main/src,42,13
/yext/pages-starter-react-locations,27,19
/yext/pages-starter-react-locations/tree/main/src/templates,23,7
/yext/pages-starter-react-locations/tree/main/src/components,17,6
/yext/pages-starter-react-locations/blob/main/src/templates/state.tsx,16,2
/yext/pages-starter-react-locations/blob/main/src/components/DirectoryCityGrid.tsx,14,4
/yext/pages-starter-react-locations/blob/main/src/components/DirectoryRootGrid.tsx,12,3
/yext/pages-starter-react-locations/blob/main/src/templates/root.tsx,12,1
/yext/pages-starter-react-locations/blob/main/src/types/DirectoryParent.ts,10,1
/yext/pages-starter-react-locations/blob/main/package.json,9,3
