url_path,views_total,views_unique
/yext/pages-starter-react-locations,30,20
/yext/pages-starter-react-locations/tree/main/src,26,8
/yext/pages-starter-react-locations/tree/main/src/components,15,4
/yext/pages-starter-react-locations/tree/main/src/templates,14,5
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,11,3
/yext/pages-starter-react-locations/blob/main/package.json,10,3
/yext/pages-starter-react-locations/tree/main,8,2
/yext/pages-starter-react-locations/tree/main/sites-config,8,2
/yext/pages-starter-react-locations/blob/main/src/components/DirectoryRootGrid.tsx,7,3
/yext/pages-starter-react-locations/blob/main/src/components/PageLayout.tsx,4,2
