url_path,views_total,views_unique
/yext/pages-starter-react-locations,65,35
/yext/pages-starter-react-locations/tree/main/src,40,14
/yext/pages-starter-react-locations/blob/main/package.json,22,4
/yext/pages-starter-react-locations/tree/main/src/templates,21,6
/yext/pages-starter-react-locations/tree/main/src/components,16,6
/yext/pages-starter-react-locations/tree/main/platform-config,16,1
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,10,3
/yext/pages-starter-react-locations/blob/main/src/assets/images/yext-favicon.ico,10,2
/yext/pages-starter-react-locations/blob/main/src/templates/root.tsx,6,2
/yext/pages-starter-react-locations/blob/main/src/templates/static.tsx,6,2
