time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-07 00:00:00+00:00,7,4,23.0,3.0
2023-04-08 00:00:00+00:00,2,2,,
2023-04-09 00:00:00+00:00,1,1,,
2023-04-10 00:00:00+00:00,3,3,14.0,5.0
2023-04-11 00:00:00+00:00,5,5,9.0,5.0
2023-04-12 00:00:00+00:00,19,7,19.0,3.0
2023-04-13 00:00:00+00:00,7,5,17.0,2.0
2023-04-14 00:00:00+00:00,21,8,43.0,9.0
2023-04-15 00:00:00+00:00,2,2,2.0,2.0
2023-04-16 00:00:00+00:00,3,3,,
2023-04-17 00:00:00+00:00,17,8,9.0,5.0
2023-04-18 00:00:00+00:00,6,3,60.0,5.0
2023-04-19 00:00:00+00:00,39,15,78.0,10.0
2023-04-20 00:00:00+00:00,5,4,35.0,7.0
