time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-07 00:00:00+00:00,2,2,,
2023-10-08 00:00:00+00:00,2,2,56.0,1.0
2023-10-09 00:00:00+00:00,21,8,30.0,5.0
2023-10-10 00:00:00+00:00,11,5,27.0,7.0
2023-10-11 00:00:00+00:00,11,7,80.0,5.0
2023-10-12 00:00:00+00:00,23,6,17.0,8.0
2023-10-13 00:00:00+00:00,5,3,2.0,1.0
2023-10-14 00:00:00+00:00,2,2,,
2023-10-15 00:00:00+00:00,4,3,,
2023-10-16 00:00:00+00:00,16,8,28.0,5.0
2023-10-17 00:00:00+00:00,19,9,23.0,4.0
2023-10-18 00:00:00+00:00,9,6,16.0,3.0
2023-10-19 00:00:00+00:00,13,7,36.0,3.0
2023-10-20 00:00:00+00:00,3,3,40.0,3.0
