url_path,views_total,views_unique
/yext/pages-starter-react-locations,42,25
/yext/pages-starter-react-locations/tree/main/src,31,8
/yext/pages-starter-react-locations/tree/main/src/templates,26,8
/yext/pages-starter-react-locations/blob/main/package.json,18,6
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,14,6
/yext/pages-starter-react-locations/pull/63,10,2
/yext/pages-starter-react-locations/pulls,8,3
/yext/pages-starter-react-locations/tree/main/src/components,8,3
/yext/pages-starter-react-locations/blob/main/src/templates/robots.ts,6,1
/yext/pages-starter-react-locations/pull/63/files,6,1
