time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-23 00:00:00+00:00,14,6,80.0,7.0
2023-08-24 00:00:00+00:00,21,11,23.0,6.0
2023-08-25 00:00:00+00:00,5,4,2.0,1.0
2023-08-26 00:00:00+00:00,6,5,,
2023-08-27 00:00:00+00:00,5,4,18.0,2.0
2023-08-28 00:00:00+00:00,24,14,11.0,4.0
2023-08-29 00:00:00+00:00,11,8,39.0,5.0
2023-08-30 00:00:00+00:00,32,11,22.0,7.0
2023-08-31 00:00:00+00:00,15,8,38.0,7.0
2023-09-01 00:00:00+00:00,20,9,108.0,6.0
2023-09-02 00:00:00+00:00,3,2,,
2023-09-03 00:00:00+00:00,6,4,1.0,1.0
2023-09-04 00:00:00+00:00,7,6,11.0,6.0
2023-09-05 00:00:00+00:00,12,9,17.0,6.0
