time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-15 00:00:00+00:00,4,3,,
2023-10-16 00:00:00+00:00,16,8,28.0,5.0
2023-10-17 00:00:00+00:00,19,9,23.0,4.0
2023-10-18 00:00:00+00:00,9,6,16.0,3.0
2023-10-19 00:00:00+00:00,13,7,36.0,3.0
2023-10-20 00:00:00+00:00,4,4,40.0,3.0
2023-10-21 00:00:00+00:00,3,3,,
2023-10-22 00:00:00+00:00,3,3,,
2023-10-23 00:00:00+00:00,18,7,,
2023-10-24 00:00:00+00:00,6,6,14.0,2.0
2023-10-25 00:00:00+00:00,4,4,7.0,2.0
2023-10-26 00:00:00+00:00,16,9,6.0,1.0
2023-10-27 00:00:00+00:00,19,5,11.0,2.0
2023-10-28 00:00:00+00:00,2,2,,
