url_path,views_total,views_unique
/yext/pages-starter-react-locations,66,30
/yext/pages-starter-react-locations/tree/main/src,65,13
/yext/pages-starter-react-locations/tree/main/src/templates,32,6
/yext/pages-starter-react-locations/blob/main/package.json,22,8
/yext/pages-starter-react-locations/tree/main/src/components,19,6
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,12,3
/yext/pages-starter-react-locations/blob/main/src/templates/static.tsx,10,1
/yext/pages-starter-react-locations/blob/main/src/templates/city.tsx,8,3
/yext/pages-starter-react-locations/tree/dm/src,8,3
/yext/pages-starter-react-locations/tree/main/sites-config,7,2
