url_path,views_total,views_unique
/yext/pages-starter-react-locations/tree/main/src,51,11
/yext/pages-starter-react-locations,42,22
/yext/pages-starter-react-locations/tree/main/src/templates,33,6
/yext/pages-starter-react-locations/tree/main/src/components,21,4
/yext/pages-starter-react-locations/blob/main/package.json,20,7
/yext/pages-starter-react-locations/blob/main/src/templates/root.tsx,12,2
/yext/pages-starter-react-locations/tree/main/sites-config,7,2
/yext/pages-starter-react-locations/blob/main/tailwind.config.cjs,6,3
/yext/pages-starter-react-locations/blob/main/src/components/DirectoryRootGrid.tsx,6,2
/yext/pages-starter-react-locations/blob/main/src/templates/city.tsx,6,2
