url_path,views_total,views_unique
/yext/pages-starter-react-locations,76,28
/yext/pages-starter-react-locations/tree/main/src,20,10
/yext/pages-starter-react-locations/tree/dm/src,20,6
/yext/pages-starter-react-locations/tree/dm,16,8
/yext/pages-starter-react-locations/tree/dm/src/templates,16,5
/yext/pages-starter-react-locations/pull/55,13,4
/yext/pages-starter-react-locations/tree/main/src/templates,12,7
/yext/pages-starter-react-locations/tree/luc-module4,12,4
/yext/pages-starter-react-locations/tree/dm/src/components,11,5
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,9,5
