url_path,views_total,views_unique
/yext/pages-starter-react-locations,90,33
/yext/pages-starter-react-locations/tree/main/src,27,6
/yext/pages-starter-react-locations/pulls,21,5
/yext/pages-starter-react-locations/pull/57,17,5
/yext/pages-starter-react-locations/tree/main/src/components,15,3
/yext/pages-starter-react-locations/tree/main/src/templates,14,4
/yext/pages-starter-react-locations/pull/57/files,13,4
/yext/pages-starter-react-locations/pull/56,8,2
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,7,2
/yext/pages-starter-react-locations/pull/55,7,2
