url_path,views_total,views_unique
/yext/pages-starter-react-locations,107,40
/yext/pages-starter-react-locations/tree/main/src,52,21
/yext/pages-starter-react-locations/tree/main/src/components,25,13
/yext/pages-starter-react-locations/tree/main/src/templates,22,12
/yext/pages-starter-react-locations/blob/main/package.json,21,6
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,18,8
/yext/pages-starter-react-locations/tree/dev/beta.15,15,5
/yext/pages-starter-react-locations/tree/main/sites-config,13,4
/yext/pages-starter-react-locations/pull/58,12,3
/yext/pages-starter-react-locations/tree/main,11,4
