time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-03 00:00:00+00:00,3,3,,
2024-02-04 00:00:00+00:00,3,3,,
2024-02-05 00:00:00+00:00,4,4,65.0,4.0
2024-02-06 00:00:00+00:00,4,4,17.0,4.0
2024-02-07 00:00:00+00:00,3,3,5.0,2.0
2024-02-08 00:00:00+00:00,10,8,42.0,4.0
2024-02-09 00:00:00+00:00,4,4,37.0,5.0
2024-02-10 00:00:00+00:00,3,3,,
2024-02-11 00:00:00+00:00,3,3,1.0,1.0
2024-02-12 00:00:00+00:00,8,7,24.0,5.0
2024-02-13 00:00:00+00:00,2,2,20.0,2.0
2024-02-14 00:00:00+00:00,3,3,9.0,2.0
2024-02-15 00:00:00+00:00,5,4,7.0,4.0
2024-02-16 00:00:00+00:00,2,2,15.0,6.0
