url_path,views_total,views_unique
/yext/pages-starter-react-locations,48,22
/yext/pages-starter-react-locations/tree/main/src,36,9
/yext/pages-starter-react-locations/tree/main/src/templates,16,5
/yext/pages-starter-react-locations/blob/main/package.json,12,2
/yext/pages-starter-react-locations/blob/main/src/components/PageLayout.tsx,8,3
/yext/pages-starter-react-locations/blob/main/src/assets/images/tacos-1.avif,8,2
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,6,3
/yext/pages-starter-react-locations/pull/61,6,3
/yext/pages-starter-react-locations/tree/main/src/components,6,3
/yext/pages-starter-react-locations/tree/main/sites-config,6,2
