url_path,views_total,views_unique
/yext/pages-starter-react-locations,69,31
/yext/pages-starter-react-locations/tree/main/src,60,16
/yext/pages-starter-react-locations/tree/main/src/components,28,9
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,28,5
/yext/pages-starter-react-locations/tree/main/src/templates,25,8
/yext/pages-starter-react-locations/blob/main/package.json,25,6
/yext/pages-starter-react-locations/blob/main/src/templates/state.tsx,12,3
/yext/pages-starter-react-locations/blob/main/src/components/Breadcrumbs.tsx,11,3
/yext/pages-starter-react-locations/blob/main/src/components/PageLayout.tsx,10,2
/yext/pages-starter-react-locations/blob/main/src/components/Header.tsx,7,2
