time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-15 00:00:00+00:00,11,9,63.0,11.0
2023-08-16 00:00:00+00:00,21,11,32.0,4.0
2023-08-17 00:00:00+00:00,12,6,32.0,5.0
2023-08-18 00:00:00+00:00,13,8,50.0,7.0
2023-08-19 00:00:00+00:00,5,4,1.0,1.0
2023-08-20 00:00:00+00:00,5,4,2.0,1.0
2023-08-21 00:00:00+00:00,16,11,98.0,9.0
2023-08-22 00:00:00+00:00,21,9,31.0,4.0
2023-08-23 00:00:00+00:00,14,6,80.0,7.0
2023-08-24 00:00:00+00:00,21,11,23.0,6.0
2023-08-25 00:00:00+00:00,5,4,2.0,1.0
2023-08-26 00:00:00+00:00,6,5,,
2023-08-27 00:00:00+00:00,5,4,18.0,2.0
2023-08-28 00:00:00+00:00,21,12,11.0,4.0
