url_path,views_total,views_unique
/yext/pages-starter-react-locations,54,32
/yext/pages-starter-react-locations/tree/main/src,44,9
/yext/pages-starter-react-locations/tree/main/src/templates,24,8
/yext/pages-starter-react-locations/tree/main/src/types,19,2
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,14,6
/yext/pages-starter-react-locations/blob/main/package.json,9,3
/yext/pages-starter-react-locations/tree/main/src/components,8,4
/yext/pages-starter-react-locations/tree/main/sites-config,5,2
/yext/pages-starter-react-locations/blob/main/package-lock.json,4,2
/yext/pages-starter-react-locations/blob/main/sites-config/ci.json,4,2
