url_path,views_total,views_unique
/yext/pages-starter-react-locations,43,28
/yext/pages-starter-react-locations/tree/main/src,27,9
/yext/pages-starter-react-locations/tree/main/src/components,19,6
/yext/pages-starter-react-locations/tree/main/sites-config,18,5
/yext/pages-starter-react-locations/tree/main/src/templates,18,5
/yext/pages-starter-react-locations/tree/main/platform-config,17,4
/yext/pages-starter-react-locations/blob/main/package.json,15,5
/yext/pages-starter-react-locations/blob/main/vite.config.js,10,1
/yext/pages-starter-react-locations/blob/main/sites-config/ci.json,8,3
/yext/pages-starter-react-locations/tree/main,7,4
