url_path,views_total,views_unique
/yext/pages-starter-react-locations/tree/main/src,61,10
/yext/pages-starter-react-locations,60,22
/yext/pages-starter-react-locations/tree/main/src/templates,35,7
/yext/pages-starter-react-locations/blob/main/package.json,25,5
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,24,4
/yext/pages-starter-react-locations/tree/main/src/components,22,3
/yext/pages-starter-react-locations/blob/main/sites-config/ci.json,15,4
/yext/pages-starter-react-locations/tree/main/sites-config,14,4
/yext/pages-starter-react-locations/blob/main/src/templates/static.tsx,14,2
/yext/pages-starter-react-locations/blob/main/src/types/ExternalImage.ts,14,1
