time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-11 00:00:00+00:00,3,2,,
2023-06-12 00:00:00+00:00,22,11,15.0,6.0
2023-06-13 00:00:00+00:00,9,5,10.0,3.0
2023-06-14 00:00:00+00:00,11,7,43.0,7.0
2023-06-15 00:00:00+00:00,5,3,23.0,4.0
2023-06-16 00:00:00+00:00,9,6,5.0,3.0
2023-06-17 00:00:00+00:00,6,4,,
2023-06-18 00:00:00+00:00,5,3,1.0,1.0
2023-06-19 00:00:00+00:00,12,8,3.0,2.0
2023-06-20 00:00:00+00:00,7,4,19.0,6.0
2023-06-21 00:00:00+00:00,7,4,43.0,3.0
2023-06-22 00:00:00+00:00,13,6,66.0,7.0
2023-06-23 00:00:00+00:00,6,4,5.0,1.0
2023-06-24 00:00:00+00:00,6,3,1.0,1.0
