url_path,views_total,views_unique
/yext/pages-starter-react-locations,57,20
/yext/pages-starter-react-locations/tree/dev/beta.15,28,10
/yext/pages-starter-react-locations/tree/main/src,24,8
/yext/pages-starter-react-locations/blob/main/package.json,16,6
/yext/pages-starter-react-locations/tree/main/src/components,10,5
/yext/pages-starter-react-locations/blob/dev/beta.15/package.json,10,3
/yext/pages-starter-react-locations/tree/main/src/types,8,5
/yext/pages-starter-react-locations/pull/58,7,3
/yext/pages-starter-react-locations/blob/main/sites-config/ci.json,6,3
/yext/pages-starter-react-locations/tree/main/sites-config,6,3
