time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-13 00:00:00+00:00,7,5,17.0,2.0
2023-04-14 00:00:00+00:00,21,8,43.0,9.0
2023-04-15 00:00:00+00:00,2,2,2.0,2.0
2023-04-16 00:00:00+00:00,3,3,,
2023-04-17 00:00:00+00:00,17,8,9.0,5.0
2023-04-18 00:00:00+00:00,6,3,60.0,5.0
2023-04-19 00:00:00+00:00,39,15,78.0,10.0
2023-04-20 00:00:00+00:00,9,7,35.0,7.0
2023-04-21 00:00:00+00:00,13,8,4.0,3.0
2023-04-22 00:00:00+00:00,3,2,,
2023-04-23 00:00:00+00:00,5,4,11.0,1.0
2023-04-24 00:00:00+00:00,12,7,28.0,8.0
2023-04-25 00:00:00+00:00,12,6,27.0,4.0
2023-04-26 00:00:00+00:00,7,2,17.0,10.0
