url_path,views_total,views_unique
/yext/pages-starter-react-locations,71,34
/yext/pages-starter-react-locations/tree/main/src,44,14
/yext/pages-starter-react-locations/blob/main/package.json,35,7
/yext/pages-starter-react-locations/tree/main/src/components,16,5
/yext/pages-starter-react-locations/tree/main/platform-config,14,2
/yext/pages-starter-react-locations/tree/main/src/templates,10,5
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,8,3
/yext/pages-starter-react-locations/tree/main/sites-config,8,3
/yext/pages-starter-react-locations/blob/main/src/components/PageLayout.tsx,7,1
/yext/pages-starter-react-locations/tree/main,6,4
