url_path,views_total,views_unique
/yext/pages-starter-react-locations,81,23
/yext/pages-starter-react-locations/tree/main/src,19,8
/yext/pages-starter-react-locations/tree/luc-module4,16,4
/yext/pages-starter-react-locations/tree/dm,11,7
/yext/pages-starter-react-locations/tree/main/src/templates,11,7
/yext/pages-starter-react-locations/tree/dm/src,11,4
/yext/pages-starter-react-locations/tree/dm/src/templates,10,4
/yext/pages-starter-react-locations/pull/55,9,4
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,8,5
/yext/pages-starter-react-locations/tree/main/platform-config,8,3
