url_path,views_total,views_unique
/yext/pages-starter-react-locations,52,21
/yext/pages-starter-react-locations/tree/main/src,42,11
/yext/pages-starter-react-locations/tree/main/src/templates,26,6
/yext/pages-starter-react-locations/blob/main/package.json,20,6
/yext/pages-starter-react-locations/tree/main/src/components,18,5
/yext/pages-starter-react-locations/tree/main/sites-config,10,2
/yext/pages-starter-react-locations/blob/main/src/templates/root.tsx,8,2
/yext/pages-starter-react-locations/pull/63,8,2
/yext/pages-starter-react-locations/tree/main/src/types,8,2
/yext/pages-starter-react-locations/tree/main,7,3
