url_path,views_total,views_unique
/yext/pages-starter-react-locations,51,27
/yext/pages-starter-react-locations/blob/main/package.json,35,10
/yext/pages-starter-react-locations/tree/main/src,31,6
/yext/pages-starter-react-locations/tree/main/src/templates,22,6
/yext/pages-starter-react-locations/blob/main/.env,21,4
/yext/pages-starter-react-locations/blob/main/tsconfig.json,15,3
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,13,4
/yext/pages-starter-react-locations/blob/main/src/templates/static.tsx,12,2
/yext/pages-starter-react-locations/blob/main/vite.config.js,12,2
/yext/pages-starter-react-locations/blob/main/.gitignore,10,2
