url_path,views_total,views_unique
/yext/pages-starter-react-locations,68,28
/yext/pages-starter-react-locations/tree/main/src,47,12
/yext/pages-starter-react-locations/tree/main/src/templates,22,5
/yext/pages-starter-react-locations/tree/main/platform-config,22,4
/yext/pages-starter-react-locations/blob/main/package.json,20,6
/yext/pages-starter-react-locations/tree/main/src/components,18,8
/yext/pages-starter-react-locations/tree/main/sites-config,15,5
/yext/pages-starter-react-locations/tree/main,10,4
/yext/pages-starter-react-locations/tree/main/platform-config/c/km,10,3
/yext/pages-starter-react-locations/tree/locator-module-cleanup/src,8,1
