time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-03 00:00:00+00:00,11,6,70.0,5.0
2023-05-04 00:00:00+00:00,6,4,41.0,6.0
2023-05-05 00:00:00+00:00,21,10,35.0,7.0
2023-05-06 00:00:00+00:00,4,3,4.0,1.0
2023-05-07 00:00:00+00:00,3,2,3.0,1.0
2023-05-08 00:00:00+00:00,6,5,55.0,6.0
2023-05-09 00:00:00+00:00,9,6,81.0,6.0
2023-05-10 00:00:00+00:00,9,6,29.0,6.0
2023-05-11 00:00:00+00:00,4,3,14.0,3.0
2023-05-12 00:00:00+00:00,13,7,14.0,1.0
2023-05-13 00:00:00+00:00,5,4,10.0,2.0
2023-05-14 00:00:00+00:00,4,3,,
2023-05-15 00:00:00+00:00,9,5,23.0,5.0
2023-05-16 00:00:00+00:00,3,3,53.0,6.0
