url_path,views_total,views_unique
/yext/pages-starter-react-locations/tree/main/src,75,12
/yext/pages-starter-react-locations,74,28
/yext/pages-starter-react-locations/tree/main/src/templates,44,8
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,29,4
/yext/pages-starter-react-locations/tree/main/src/components,22,6
/yext/pages-starter-react-locations/blob/main/package.json,20,5
/yext/pages-starter-react-locations/blob/main/src/templates/static.tsx,13,4
/yext/pages-starter-react-locations/tree/main/sites-config,13,4
/yext/pages-starter-react-locations/blob/main/vite.config.js,10,4
/yext/pages-starter-react-locations/blob/main/src/components/Details.tsx,10,2
