time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-28 00:00:00+00:00,14,6,5.0,3.0
2023-12-29 00:00:00+00:00,10,6,1.0,1.0
2023-12-30 00:00:00+00:00,4,4,,
2023-12-31 00:00:00+00:00,3,3,,
2024-01-01 00:00:00+00:00,7,6,,
2024-01-02 00:00:00+00:00,12,9,24.0,5.0
2024-01-03 00:00:00+00:00,5,5,48.0,6.0
2024-01-04 00:00:00+00:00,5,5,46.0,8.0
2024-01-05 00:00:00+00:00,4,4,45.0,8.0
2024-01-06 00:00:00+00:00,4,4,,
2024-01-07 00:00:00+00:00,3,3,3.0,1.0
2024-01-08 00:00:00+00:00,8,6,77.0,14.0
2024-01-09 00:00:00+00:00,4,4,27.0,3.0
2024-01-10 00:00:00+00:00,3,3,,
