url_path,views_total,views_unique
/yext/pages-starter-react-locations,75,28
/yext/pages-starter-react-locations/tree/main/src,42,11
/yext/pages-starter-react-locations/blob/main/package.json,26,7
/yext/pages-starter-react-locations/tree/main/platform-config,24,2
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,14,4
/yext/pages-starter-react-locations/tree/main/src/templates,12,5
/yext/pages-starter-react-locations/blob/main/sites-config/ci.json,11,3
/yext/pages-starter-react-locations/blob/main/vite.config.js,10,2
/yext/pages-starter-react-locations/tree/main/platform-config/default/km/entity,10,1
/yext/pages-starter-react-locations/blob/main/src/templates/root.tsx,9,2
