url_path,views_total,views_unique
/yext/pages-starter-react-locations,63,33
/yext/pages-starter-react-locations/tree/main/src,57,17
/yext/pages-starter-react-locations/tree/main/src/templates,33,11
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,28,5
/yext/pages-starter-react-locations/tree/main/src/components,27,9
/yext/pages-starter-react-locations/blob/main/package.json,21,5
/yext/pages-starter-react-locations/blob/main/src/templates/state.tsx,14,4
/yext/pages-starter-react-locations/blob/main/src/components/Breadcrumbs.tsx,11,3
/yext/pages-starter-react-locations/tree/main/platform-config,10,2
/yext/pages-starter-react-locations/blob/main/src/components/PageLayout.tsx,8,1
