url_path,views_total,views_unique
/yext/pages-starter-react-locations,56,21
/yext/pages-starter-react-locations/tree/dev/beta.15,27,10
/yext/pages-starter-react-locations/tree/main/src,18,6
/yext/pages-starter-react-locations/blob/main/package.json,14,6
/yext/pages-starter-react-locations/blob/dev/beta.15/package.json,10,3
/yext/pages-starter-react-locations/tree/main/src/components,8,4
/yext/pages-starter-react-locations/tree/main/src/types,7,4
/yext/pages-starter-react-locations/blob/main/sites-config/ci.json,4,2
/yext/pages-starter-react-locations/blob/dm/src/components/MenuSection.tsx,4,1
/yext/pages-starter-react-locations/tree/dm/src/components,4,1
