url_path,views_total,views_unique
/yext/pages-starter-react-locations,67,37
/yext/pages-starter-react-locations/tree/main/src,38,11
/yext/pages-starter-react-locations/blob/main/package.json,29,4
/yext/pages-starter-react-locations/blob/main/src/templates/root.tsx,21,2
/yext/pages-starter-react-locations/tree/main/src/templates,18,5
/yext/pages-starter-react-locations/tree/main/src/components,17,6
/yext/pages-starter-react-locations/blob/main/src/components/PageLayout.tsx,14,1
/yext/pages-starter-react-locations/tree/main/platform-config,11,3
/yext/pages-starter-react-locations/tree/main/sites-config,10,3
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,10,2
