time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-11 00:00:00+00:00,3,3,1,1
2024-02-12 00:00:00+00:00,8,7,24,5
2024-02-13 00:00:00+00:00,2,2,20,2
2024-02-14 00:00:00+00:00,3,3,9,2
2024-02-15 00:00:00+00:00,5,4,7,4
2024-02-16 00:00:00+00:00,4,4,15,6
2024-02-17 00:00:00+00:00,4,4,9,2
2024-02-18 00:00:00+00:00,5,5,10,2
2024-02-19 00:00:00+00:00,3,3,8,1
2024-02-20 00:00:00+00:00,3,3,21,3
2024-02-21 00:00:00+00:00,4,4,14,3
2024-02-22 00:00:00+00:00,4,4,13,4
2024-02-23 00:00:00+00:00,2,2,11,3
2024-02-24 00:00:00+00:00,1,1,6,2
