time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-28 00:00:00+00:00,8.0,6.0,38.0,4.0
2023-06-29 00:00:00+00:00,8.0,7.0,59.0,7.0
2023-06-30 00:00:00+00:00,16.0,7.0,65.0,8.0
2023-07-01 00:00:00+00:00,4.0,3.0,,
2023-07-02 00:00:00+00:00,7.0,4.0,,
2023-07-03 00:00:00+00:00,11.0,7.0,31.0,4.0
2023-07-04 00:00:00+00:00,9.0,6.0,41.0,5.0
2023-07-05 00:00:00+00:00,13.0,7.0,18.0,5.0
2023-07-06 00:00:00+00:00,13.0,8.0,42.0,5.0
2023-07-07 00:00:00+00:00,11.0,5.0,45.0,8.0
2023-07-08 00:00:00+00:00,3.0,2.0,,
2023-07-09 00:00:00+00:00,5.0,3.0,2.0,1.0
2023-07-10 00:00:00+00:00,13.0,7.0,29.0,9.0
2023-07-11 00:00:00+00:00,,,25.0,3.0
