time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-14 00:00:00+00:00,15,7,132.0,4.0
2023-07-15 00:00:00+00:00,4,3,47.0,1.0
2023-07-16 00:00:00+00:00,4,3,,
2023-07-17 00:00:00+00:00,12,8,42.0,8.0
2023-07-18 00:00:00+00:00,7,5,23.0,5.0
2023-07-19 00:00:00+00:00,5,4,44.0,4.0
2023-07-20 00:00:00+00:00,12,8,11.0,3.0
2023-07-21 00:00:00+00:00,10,7,,
2023-07-22 00:00:00+00:00,4,3,7.0,3.0
2023-07-23 00:00:00+00:00,5,4,,
2023-07-24 00:00:00+00:00,18,8,35.0,7.0
2023-07-25 00:00:00+00:00,16,11,26.0,5.0
2023-07-26 00:00:00+00:00,26,12,11.0,2.0
2023-07-27 00:00:00+00:00,16,5,82.0,5.0
