url_path,views_total,views_unique
/yext/pages-starter-react-locations,45,28
/yext/pages-starter-react-locations/tree/main/src,31,8
/yext/pages-starter-react-locations/blob/main/package.json,25,7
/yext/pages-starter-react-locations/blob/main/.env,21,4
/yext/pages-starter-react-locations/tree/main/src/templates,19,6
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,10,4
/yext/pages-starter-react-locations/tree/main/src/components,9,4
/yext/pages-starter-react-locations/blob/main/.gitignore,8,1
/yext/pages-starter-react-locations/blob/main/src/templates/static.tsx,8,1
/yext/pages-starter-react-locations/tree/main,7,4
